,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,stockCode
0,2021-08-20,36.63,36.77,37.75,36.13,896683,3326609552.0,4.4,-0.11,-0.04,2.2,600703
1,2021-08-23,36.85,38.61,39.58,36.4,1182117,4542165760.0,8.65,5.0,1.84,2.9,600703
2,2021-08-24,38.54,38.65,39.3,37.95,880704,3422647888.0,3.5,0.1,0.04,2.16,600703
3,2021-08-25,39.1,38.13,39.33,37.52,779461,2987540496.0,4.68,-1.35,-0.52,1.91,600703
4,2021-08-26,38.14,36.96,38.53,36.7,805467,3039485856.0,4.8,-3.07,-1.17,1.97,600703
5,2021-08-27,36.72,36.56,37.4,36.36,682566,2520179360.0,2.81,-1.08,-0.4,1.67,600703
6,2021-08-30,36.8,35.97,37.64,35.83,899238,3307755232.0,4.95,-1.61,-0.59,2.2,600703
7,2021-08-31,35.65,36.16,36.34,34.3,1173811,4165761776.0,5.67,0.53,0.19,2.88,600703
8,2021-09-01,33.88,33.74,34.25,32.53,1926226,6446593792.0,4.76,-6.69,-2.42,4.72,600703
9,2021-09-02,33.55,33.28,34.05,33.23,815975,2749351520.0,2.43,-1.36,-0.46,2.0,600703
10,2021-09-03,32.86,32.88,33.75,32.03,822319,2719808704.0,5.17,-1.2,-0.4,2.02,600703
11,2021-09-06,33.2,33.92,34.05,32.61,720845,2421383200.0,4.38,3.16,1.04,1.77,600703
12,2021-09-07,33.65,33.93,34.25,33.46,568770,1936389792.0,2.33,0.03,0.01,1.39,600703
13,2021-09-08,33.87,33.95,34.69,33.68,524014,1794447264.0,2.98,0.06,0.02,1.28,600703
14,2021-09-09,33.96,33.36,34.03,32.82,563690,1882872848.0,3.56,-1.74,-0.59,1.38,600703
15,2021-09-10,33.36,35.19,35.73,32.86,1215485,4221928832.0,8.6,5.49,1.83,2.98,600703
16,2021-09-13,34.61,34.02,35.1,33.62,724595,2483643472.0,4.21,-3.32,-1.17,1.78,600703
17,2021-09-14,34.02,33.62,34.53,33.18,634808,2158776224.0,3.97,-1.18,-0.4,1.56,600703
18,2021-09-15,33.34,33.05,33.99,32.8,433805,1450846192.0,3.54,-1.7,-0.57,1.06,600703
19,2021-09-16,33.08,32.14,33.2,32.14,498029,1627913744.0,3.21,-2.75,-0.91,1.22,600703
20,2021-09-17,32.06,32.05,32.54,31.29,464669,1486357872.0,3.89,-0.28,-0.09,1.14,600703
21,2021-09-22,31.65,32.69,32.81,31.5,470797,1534754112.0,4.09,2.0,0.64,1.15,600703
22,2021-09-23,32.69,32.85,33.85,32.45,720718,2405457968.0,4.28,0.49,0.16,1.77,600703
23,2021-09-24,32.85,32.46,33.54,32.45,439663,1450892656.0,3.32,-1.19,-0.39,1.08,600703
24,2021-09-27,32.85,33.62,34.3,32.65,925080,3120805120.0,5.08,3.57,1.16,2.27,600703
25,2021-09-28,33.25,33.75,34.25,32.9,534446,1801702976.0,4.02,0.39,0.13,1.31,600703
26,2021-09-29,33.19,32.03,33.26,31.99,596943,1951555808.0,3.76,-5.1,-1.72,1.46,600703
27,2021-09-30,31.3,31.54,32.95,30.93,692340,2211412208.0,6.31,-1.53,-0.49,1.7,600703
28,2021-10-08,32.05,33.94,34.51,31.76,958707,3236816416.0,8.72,7.61,2.4,2.35,600703
29,2021-10-11,33.7,33.84,34.47,33.53,538100,1835364144.0,2.77,-0.29,-0.1,1.32,600703
30,2021-10-12,33.75,32.55,34.05,32.13,542672,1799316720.0,5.67,-3.81,-1.29,1.33,600703
31,2021-10-13,32.55,33.37,33.45,32.13,520526,1726451632.0,4.06,2.52,0.82,1.28,600703
32,2021-10-14,33.15,32.8,33.33,32.67,378559,1252141600.0,1.98,-1.71,-0.57,0.93,600703
33,2021-10-15,32.93,33.6,33.94,32.44,865846,2908134208.0,4.57,2.44,0.8,2.12,600703
34,2021-10-18,33.13,32.32,33.15,31.31,913102,2941685712.0,5.48,-3.81,-1.28,2.24,600703
35,2021-10-19,32.12,31.65,32.12,31.14,870676,2764524144.0,3.03,-2.07,-0.67,2.13,600703
36,2021-10-20,31.62,31.4,31.86,31.23,498791,1580991712.0,1.99,-0.79,-0.25,1.22,600703
37,2021-10-21,31.42,30.41,31.61,30.16,754924,2328685616.0,4.62,-3.15,-0.99,1.85,600703
38,2021-10-22,30.41,31.62,31.8,30.41,795720,2506067136.0,4.57,3.98,1.21,1.95,600703
39,2021-10-25,31.62,31.73,31.82,30.73,490713,1540654784.0,3.45,0.35,0.11,1.2,600703
40,2021-10-26,31.95,32.25,33.33,31.46,824567,2682122240.0,5.89,1.64,0.52,2.02,600703
41,2021-10-27,32.25,31.94,32.64,31.71,441125,1422961920.0,2.88,-0.96,-0.31,1.08,600703
42,2021-10-28,31.8,32.19,32.85,31.76,527066,1704690544.0,3.41,0.78,0.25,1.29,600703
43,2021-10-29,32.45,33.45,33.77,31.66,1171771,3911446224.0,6.55,3.91,1.26,2.87,600703
44,2021-11-01,33.45,33.59,34.04,32.81,895391,3010172544.0,3.68,0.42,0.14,2.2,600703
45,2021-11-02,33.8,34.21,35.2,33.59,1305769,4526422272.0,4.79,1.85,0.62,3.2,600703
46,2021-11-03,34.25,33.23,34.94,32.9,941975,3205967168.0,5.96,-2.86,-0.98,2.31,600703
47,2021-11-04,33.53,35.25,35.27,33.18,1393543,4855829504.0,6.29,6.08,2.02,3.42,600703
48,2021-11-05,35.39,34.84,35.63,34.65,841620,2963133632.0,2.78,-1.16,-0.41,2.06,600703
49,2021-11-08,34.47,34.71,35.18,33.65,742667,2560071600.0,4.39,-0.37,-0.13,1.82,600703
50,2021-11-09,34.55,35.75,35.75,34.0,911303,3207616384.0,5.04,3.0,1.04,2.23,600703
51,2021-11-10,35.35,36.34,36.6,35.22,905563,3281688832.0,3.86,1.65,0.59,2.22,600703
52,2021-11-11,35.92,36.57,38.13,35.7,1044413,3865513456.0,6.69,0.63,0.23,2.56,600703
53,2021-11-12,36.25,37.03,37.35,36.06,672035,2480381216.0,3.53,1.26,0.46,1.65,600703
54,2021-11-15,37.24,37.08,37.72,36.63,613278,2284822320.0,2.94,0.14,0.05,1.5,600703
55,2021-11-16,36.55,35.8,37.02,35.75,672718,2451635984.0,3.43,-3.45,-1.28,1.65,600703
56,2021-11-17,35.66,35.78,36.23,35.18,456877,1637132096.0,2.93,-0.06,-0.02,1.12,600703
57,2021-11-18,35.6,34.95,36.09,34.73,540165,1906833056.0,3.8,-2.32,-0.83,1.32,600703
58,2021-11-19,34.83,35.56,35.7,34.73,436750,1553989040.0,2.78,1.75,0.61,1.07,600703
59,2021-11-22,35.36,37.9,38.03,35.35,1041412,3872185696.0,7.54,6.58,2.34,2.55,600703
60,2021-11-23,37.81,37.49,38.13,37.25,597923,2261151392.0,2.32,-1.08,-0.41,1.47,600703
61,2021-11-24,37.41,36.85,37.94,36.79,559166,2096329856.0,3.07,-1.71,-0.64,1.37,600703
62,2021-11-25,36.84,36.54,37.34,36.14,471191,1737356768.0,3.26,-0.84,-0.31,1.16,600703
63,2021-11-26,36.35,36.03,36.35,35.76,518693,1874520896.0,1.61,-1.4,-0.51,1.27,600703
64,2021-11-29,34.84,34.96,35.75,34.65,872175,3076627152.0,3.05,-2.97,-1.07,2.14,600703
65,2021-11-30,34.86,34.88,35.52,34.53,592421,2083128704.0,2.83,-0.23,-0.08,1.45,600703
66,2021-12-01,34.79,33.57,35.29,33.2,1010407,3449025776.0,5.99,-3.76,-1.31,2.48,600703
67,2021-12-02,33.34,33.59,34.17,33.13,537599,1818575840.0,3.1,0.06,0.02,1.32,600703
68,2021-12-03,33.74,34.35,34.81,33.45,712386,2456196576.0,4.05,2.26,0.76,1.75,600703
69,2021-12-06,34.34,33.59,34.34,33.56,511111,1732684352.0,2.27,-2.21,-0.76,1.25,600703
70,2021-12-07,33.84,32.78,34.0,32.45,652830,2157013648.0,4.61,-2.41,-0.81,1.6,600703
71,2021-12-08,33.13,34.45,34.62,33.03,819769,2801685360.0,4.85,5.09,1.67,2.01,600703
72,2021-12-09,37.79,37.91,37.91,36.78,2371696,8958264064.0,3.28,10.04,3.46,5.82,600703
73,2021-12-10,37.85,35.51,37.85,35.51,2600958,9460139776.0,6.17,-6.33,-2.4,6.38,600703
74,2021-12-13,35.59,35.94,36.55,34.8,1369090,4910146304.0,4.93,1.21,0.43,3.36,600703
75,2021-12-14,36.25,36.65,37.23,35.51,931906,3417359088.0,4.79,1.98,0.71,2.28,600703
76,2021-12-15,36.45,35.75,36.73,35.72,619625,2241168768.0,2.76,-2.46,-0.9,1.52,600703
77,2021-12-16,36.21,35.7,36.45,35.65,467531,1691130368.0,2.24,-0.14,-0.05,1.15,600703
78,2021-12-17,35.35,34.79,35.75,34.72,566118,1991641424.0,2.89,-2.55,-0.91,1.39,600703
79,2021-12-20,34.69,34.39,35.1,34.34,473425,1647523520.0,2.18,-1.15,-0.4,1.16,600703
80,2021-12-21,34.37,34.75,34.75,33.07,657936,2242524912.0,4.89,1.05,0.36,1.61,600703
81,2021-12-22,35.31,36.94,38.15,35.31,1518017,5640336128.0,8.17,6.3,2.19,3.72,600703
82,2021-12-23,36.67,36.45,37.17,36.45,518631,1909360784.0,1.95,-1.33,-0.49,1.27,600703
83,2021-12-24,36.53,36.88,38.05,36.51,844005,3163156256.0,4.22,1.18,0.43,2.07,600703
84,2021-12-27,37.3,37.15,37.42,36.52,458533,1700493824.0,2.44,0.73,0.27,1.12,600703
85,2021-12-28,37.43,36.52,37.43,36.05,519855,1900765440.0,3.71,-1.7,-0.63,1.27,600703
86,2021-12-29,36.39,35.55,36.7,35.36,470767,1697343104.0,3.67,-2.66,-0.97,1.15,600703
87,2021-12-30,35.57,36.59,37.15,35.57,497335,1823703616.0,4.44,2.93,1.04,1.22,600703
88,2021-12-31,36.45,37.41,37.95,36.45,634842,2379857344.0,4.1,2.24,0.82,1.56,600703
89,2022-01-04,37.46,37.32,38.21,36.85,517404,1945481552.0,3.64,-0.24,-0.09,1.27,600703
90,2022-01-05,37.11,35.63,37.12,35.05,692511,2491543120.0,5.55,-4.53,-1.69,1.7,600703
91,2022-01-06,34.91,35.64,36.3,34.55,581489,2066389424.0,4.91,0.03,0.01,1.43,600703
92,2022-01-07,36.21,34.85,37.28,34.73,631995,2291442544.0,7.15,-2.22,-0.79,1.55,600703
