,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,stockCode
0,2021-08-20,7.57,7.61,7.71,7.45,14957,22341805.0,3.43,0.4,0.03,1.01,000803
1,2021-08-23,7.57,7.6,7.8,7.52,23591,35518684.0,3.68,-0.13,-0.01,1.6,000803
2,2021-08-24,7.6,8.12,8.14,7.59,44306,69198752.0,7.24,6.84,0.52,3.0,000803
3,2021-08-25,8.16,8.06,8.17,7.97,25683,40565772.0,2.46,-0.74,-0.06,1.74,000803
4,2021-08-26,8.06,8.66,8.76,7.96,60752,100049407.0,9.93,7.44,0.6,4.11,000803
5,2021-08-27,8.56,8.44,8.62,8.33,41737,69219729.0,3.35,-2.54,-0.22,2.83,000803
6,2021-08-30,8.44,8.56,9.01,8.34,62009,106343671.0,7.94,1.42,0.12,4.2,000803
7,2021-08-31,8.41,8.7,9.0,8.4,41979,72297993.0,7.01,1.64,0.14,2.84,000803
8,2021-09-01,8.67,8.37,8.78,8.31,37078,61551588.0,5.4,-3.79,-0.33,2.51,000803
9,2021-09-02,8.36,8.59,8.73,8.3,25871,43390663.0,5.14,2.63,0.22,1.75,000803
10,2021-09-03,8.6,8.57,9.01,8.44,38141,65120878.0,6.64,-0.23,-0.02,2.58,000803
11,2021-09-06,8.93,8.77,8.93,8.32,38889,65339127.0,7.12,2.33,0.2,2.63,000803
12,2021-09-07,8.8,8.72,8.83,8.52,27340,46351347.0,3.53,-0.57,-0.05,1.85,000803
13,2021-09-08,8.88,8.65,8.88,8.59,20907,35653462.0,3.33,-0.8,-0.07,1.42,000803
14,2021-09-09,8.59,8.54,8.71,8.52,18924,31929841.0,2.2,-1.27,-0.11,1.28,000803
15,2021-09-10,8.54,8.45,8.77,8.43,21723,36363630.0,3.98,-1.05,-0.09,1.47,000803
16,2021-09-13,8.45,8.58,8.63,8.37,18641,31221953.0,3.08,1.54,0.13,1.26,000803
17,2021-09-14,8.58,8.49,8.72,8.43,24137,40516625.0,3.38,-1.05,-0.09,1.63,000803
18,2021-09-15,8.47,8.75,8.77,8.38,34150,57766548.0,4.59,3.06,0.26,2.31,000803
19,2021-09-16,8.75,9.04,9.16,8.71,60772,106440962.0,5.14,3.31,0.29,4.11,000803
20,2021-09-17,9.08,9.17,9.34,8.78,52744,93631471.0,6.19,1.44,0.13,3.57,000803
21,2021-09-22,9.01,9.32,9.43,8.67,49480,88412676.0,8.29,1.64,0.15,3.35,000803
22,2021-09-23,9.32,8.67,9.32,8.67,55093,96350421.0,6.97,-6.97,-0.65,3.73,000803
23,2021-09-24,8.7,8.67,8.75,8.43,30622,51331323.0,3.69,0.0,0.0,2.07,000803
24,2021-09-27,8.67,8.56,8.76,8.23,37312,62058869.0,6.11,-1.27,-0.11,2.53,000803
25,2021-09-28,8.47,8.45,8.7,8.16,109097,179489187.0,6.31,-1.29,-0.11,7.39,000803
26,2021-09-29,8.39,7.61,8.39,7.61,77346,119915361.0,9.23,-9.94,-0.84,5.24,000803
27,2021-09-30,7.45,8.27,8.37,7.39,109853,173791514.0,12.88,8.67,0.66,7.44,000803
28,2021-10-08,8.2,7.86,8.45,7.64,59196,91723289.0,9.79,-4.96,-0.41,4.01,000803
29,2021-10-11,7.86,7.87,7.96,7.74,20082,30926811.0,2.8,0.13,0.01,1.36,000803
30,2021-10-12,7.87,7.76,7.93,7.63,17201,26192949.0,3.81,-1.4,-0.11,1.16,000803
31,2021-10-13,7.7,7.96,8.03,7.66,17971,27604677.0,4.77,2.58,0.2,1.22,000803
32,2021-10-14,7.92,8.44,8.46,7.84,47857,77179829.0,7.79,6.03,0.48,3.24,000803
33,2021-10-15,8.28,8.85,8.94,8.22,73471,124638850.0,8.53,4.86,0.41,4.97,000803
34,2021-10-18,8.87,9.01,9.07,8.71,60037,105112281.0,4.07,1.81,0.16,4.06,000803
35,2021-10-19,9.03,9.2,9.54,9.03,97224,177148735.0,5.66,2.11,0.19,6.58,000803
36,2021-10-20,9.31,9.57,9.69,9.22,64572,120583273.0,5.11,4.02,0.37,4.37,000803
37,2021-10-21,9.59,9.21,9.62,9.18,44868,82036829.0,4.6,-3.76,-0.36,3.04,000803
38,2021-10-22,9.46,8.97,9.46,8.85,50961,90018348.0,6.62,-2.61,-0.24,3.45,000803
39,2021-10-25,9.02,9.22,9.32,8.78,33821,60525336.0,6.02,2.79,0.25,2.29,000803
40,2021-10-26,9.12,9.32,9.42,9.09,27813,50542501.0,3.58,1.08,0.1,1.88,000803
41,2021-10-27,9.31,10.0,10.17,9.23,79208,151814454.0,10.09,7.3,0.68,5.36,000803
42,2021-10-28,9.97,9.85,10.34,9.75,50791,99630078.0,5.9,-1.5,-0.15,3.44,000803
43,2021-10-29,9.88,9.84,10.01,9.47,33627,64308894.0,5.48,-0.1,-0.01,2.28,000803
44,2021-11-01,9.9,9.68,10.08,9.62,38707,74009147.0,4.67,-1.63,-0.16,2.62,000803
45,2021-11-02,9.68,9.74,9.95,9.43,36842,69945443.0,5.37,0.62,0.06,2.49,000803
46,2021-11-03,9.78,9.65,9.91,9.49,24639,46812801.0,4.31,-0.92,-0.09,1.67,000803
47,2021-11-04,9.71,10.47,10.56,9.58,69111,138219661.0,10.16,8.5,0.82,4.68,000803
48,2021-11-05,10.34,10.18,10.34,9.78,80730,158990830.0,5.35,-2.77,-0.29,5.47,000803
49,2021-11-08,10.07,10.2,10.54,9.95,45503,91832979.0,5.8,0.2,0.02,3.08,000803
