,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,stockCode
0,2021-08-20,8.5,8.55,8.71,8.44,186405,162755707.0,3.17,0.35,0.03,2.44,600552
1,2021-08-23,8.52,9.27,9.36,8.47,312423,287149376.0,10.41,8.42,0.72,4.09,600552
2,2021-08-24,9.28,10.17,10.21,9.2,623749,633653328.0,10.9,9.71,0.9,8.17,600552
3,2021-08-25,10.17,11.2,11.2,10.17,835068,921905968.0,10.13,10.13,1.03,10.93,600552
4,2021-08-26,11.32,11.23,11.64,10.88,758288,864710336.0,6.79,0.27,0.03,9.93,600552
5,2021-08-27,11.18,11.55,11.92,11.1,401675,469717904.0,7.3,2.85,0.32,5.26,600552
6,2021-08-30,11.97,11.07,12.02,10.86,518138,588876000.0,10.04,-4.16,-0.48,6.78,600552
7,2021-08-31,11.47,11.1,11.5,10.95,265564,299041456.0,4.97,0.27,0.03,3.48,600552
8,2021-09-01,11.45,10.47,11.45,10.25,450180,484025856.0,10.81,-5.68,-0.63,5.89,600552
9,2021-09-02,10.35,10.59,10.73,10.23,306439,326133232.0,4.78,1.15,0.12,4.01,600552
10,2021-09-03,10.66,10.51,10.97,10.32,335253,360332224.0,6.14,-0.76,-0.08,4.39,600552
11,2021-09-06,10.45,10.57,10.81,10.3,215564,231338833.0,4.85,0.57,0.06,2.82,600552
12,2021-09-07,10.67,10.68,10.79,10.47,209359,225963167.0,3.03,1.04,0.11,2.74,600552
13,2021-09-08,10.68,10.77,11.4,10.66,386262,426823008.0,6.93,0.84,0.09,5.06,600552
14,2021-09-09,10.59,10.56,10.89,10.39,282450,303194336.0,4.64,-1.95,-0.21,3.7,600552
15,2021-09-10,10.47,10.57,10.68,10.39,185048,197923700.0,2.75,0.09,0.01,2.42,600552
16,2021-09-13,10.58,10.39,10.64,10.25,203690,214740632.0,3.69,-1.7,-0.18,2.67,600552
17,2021-09-14,10.41,10.34,10.93,10.3,280057,300935712.0,6.06,-0.48,-0.05,3.67,600552
18,2021-09-15,10.33,10.53,10.62,10.24,188320,199100643.0,3.68,1.84,0.19,2.47,600552
19,2021-09-16,10.46,9.89,10.51,9.87,283045,291100976.0,6.08,-6.08,-0.64,3.71,600552
20,2021-09-17,9.86,10.05,10.29,9.86,222440,227828481.0,4.35,1.62,0.16,2.91,600552
21,2021-09-22,9.86,10.3,10.39,9.78,180150,185224958.0,6.07,2.49,0.25,2.36,600552
22,2021-09-23,10.29,10.24,10.41,10.02,177379,183703148.0,3.79,-0.58,-0.06,2.32,600552
23,2021-09-24,10.24,9.92,10.25,9.86,131811,134203363.0,3.81,-3.13,-0.32,1.73,600552
24,2021-09-27,9.95,9.52,10.24,9.28,249786,246084498.0,9.68,-4.03,-0.4,3.27,600552
25,2021-09-28,9.45,9.33,9.52,9.19,155899,147899856.0,3.47,-2.0,-0.19,2.04,600552
26,2021-09-29,9.21,8.81,9.33,8.75,170382,155415252.0,6.22,-5.57,-0.52,2.23,600552
27,2021-09-30,8.93,8.93,9.07,8.78,147239,133292276.0,3.29,1.36,0.12,1.93,600552
28,2021-10-08,9.05,8.9,9.27,8.81,160647,147188876.0,5.15,-0.34,-0.03,2.1,600552
29,2021-10-11,8.86,8.85,9.01,8.76,115926,104592151.0,2.81,-0.56,-0.05,1.52,600552
30,2021-10-12,8.85,8.52,8.85,8.41,142164,124088262.0,4.97,-3.73,-0.33,1.86,600552
31,2021-10-13,8.52,8.57,8.59,8.41,97585,84539533.0,2.11,0.59,0.05,1.28,600552
32,2021-10-14,8.57,8.57,8.61,8.43,91996,79892098.0,2.1,0.0,0.0,1.2,600552
33,2021-10-15,8.59,8.5,8.59,8.4,98267,84774050.0,2.22,-0.82,-0.07,1.29,600552
34,2021-10-18,8.4,8.5,8.55,8.35,94691,81296282.0,2.35,0.0,0.0,1.24,600552
35,2021-10-19,8.64,8.54,8.82,8.53,214706,189199366.0,3.41,0.47,0.04,2.81,600552
36,2021-10-20,8.54,8.34,8.57,8.32,158560,136105370.0,2.93,-2.34,-0.2,2.08,600552
37,2021-10-21,8.38,8.22,8.47,8.17,134420,113445078.0,3.6,-1.44,-0.12,1.76,600552
38,2021-10-22,8.31,8.11,8.37,8.07,133323,111756175.0,3.65,-1.34,-0.11,1.75,600552
39,2021-10-25,8.24,8.48,8.48,8.01,209199,176447677.0,5.8,4.56,0.37,2.74,600552
40,2021-10-26,8.4,8.66,8.82,8.38,340228,298110608.0,5.19,2.12,0.18,4.45,600552
41,2021-10-27,8.66,8.33,8.66,8.25,222381,190738708.0,4.73,-3.81,-0.33,2.91,600552
42,2021-10-28,8.27,8.01,8.58,7.99,211511,177447288.0,7.08,-3.84,-0.32,2.77,600552
43,2021-10-29,8.07,8.21,8.21,7.85,165250,136428538.0,4.49,2.5,0.2,2.16,600552
44,2021-11-01,8.31,8.44,8.58,8.2,223773,192107036.0,4.63,2.8,0.23,2.93,600552
45,2021-11-02,8.46,8.21,8.53,8.07,183794,155416260.0,5.45,-2.73,-0.23,2.41,600552
46,2021-11-03,8.27,8.24,8.33,7.99,163246,135589429.0,4.14,0.37,0.03,2.14,600552
47,2021-11-04,8.25,8.42,8.53,8.22,198796,170501898.0,3.76,2.18,0.18,2.6,600552
48,2021-11-05,8.41,8.61,8.7,8.34,307193,267909322.0,4.28,2.26,0.19,4.02,600552
49,2021-11-08,8.57,8.37,8.58,8.25,232033,198104832.0,3.83,-2.79,-0.24,3.04,600552
50,2021-11-09,8.38,8.7,8.73,8.34,245289,213565121.0,4.66,3.94,0.33,3.21,600552
51,2021-11-10,8.67,9.14,9.16,8.6,356075,321716272.0,6.44,5.06,0.44,4.66,600552
52,2021-11-11,9.06,8.93,9.06,8.83,369465,335082400.0,2.52,-2.3,-0.21,4.84,600552
53,2021-11-12,8.93,8.98,9.06,8.87,231270,211148389.0,2.13,0.56,0.05,3.03,600552
54,2021-11-15,8.99,9.75,9.89,8.99,694002,680530640.0,10.02,8.57,0.77,9.09,600552
55,2021-11-16,9.73,9.17,9.73,9.15,554176,526713888.0,5.95,-5.95,-0.58,7.25,600552
56,2021-11-17,9.15,9.47,9.51,9.11,321401,306351184.0,4.36,3.27,0.3,4.21,600552
57,2021-11-18,9.45,10.43,10.43,9.44,455141,471889360.0,10.45,10.14,0.96,5.96,600552
58,2021-11-19,10.6,10.37,10.6,10.1,622949,653364304.0,4.79,-0.58,-0.06,8.16,600552
59,2021-11-22,10.48,10.5,11.07,10.47,604622,656399536.0,5.79,1.25,0.13,7.92,600552
60,2021-11-23,10.53,10.69,10.74,10.25,457096,488009472.0,4.67,1.81,0.19,5.98,600552
61,2021-11-24,10.55,10.64,10.91,10.53,252021,273834960.0,3.55,-0.47,-0.05,3.3,600552
62,2021-11-25,10.69,10.86,11.1,10.55,331097,363088608.0,5.17,2.07,0.22,4.33,600552
63,2021-11-26,10.85,10.7,11.03,10.16,333431,361282608.0,8.01,-1.47,-0.16,4.36,600552
64,2021-11-29,10.51,10.88,10.88,10.36,251299,273489552.0,4.86,1.68,0.18,3.29,600552
65,2021-11-30,10.9,11.03,11.23,10.84,318904,356065696.0,3.58,1.38,0.15,4.17,600552
66,2021-12-01,10.9,10.94,11.2,10.83,197341,219398582.0,3.35,-0.82,-0.09,2.58,600552
67,2021-12-02,11.01,10.63,11.01,10.61,283244,308309280.0,3.66,-2.83,-0.31,3.71,600552
68,2021-12-03,10.69,11.71,11.71,10.69,621690,721935824.0,9.6,10.16,1.08,8.14,600552
69,2021-12-06,11.71,11.78,12.32,11.31,739376,888497184.0,8.63,0.6,0.07,9.68,600552
70,2021-12-07,11.78,11.18,11.92,11.02,492666,564547920.0,7.64,-5.09,-0.6,6.45,600552
71,2021-12-08,11.15,11.11,11.31,10.91,255024,286993152.0,3.58,-0.63,-0.07,3.34,600552
72,2021-12-09,11.11,10.86,11.33,10.85,255303,284928912.0,4.32,-2.25,-0.25,3.34,600552
73,2021-12-10,10.81,10.86,11.1,10.65,219186,242483453.0,4.14,0.0,0.0,2.87,600552
74,2021-12-13,10.76,10.91,10.97,10.5,307965,335747024.0,4.33,0.46,0.05,4.03,600552
75,2021-12-14,10.91,12.02,12.02,10.91,580688,698925088.0,10.17,10.17,1.11,7.6,600552
76,2021-12-15,12.32,13.03,13.24,12.19,866800,1142222192.0,8.74,8.4,1.01,11.35,600552
77,2021-12-16,13.05,13.1,13.49,12.71,779534,1033224128.0,5.99,0.54,0.07,10.2,600552
78,2021-12-17,13.0,13.36,13.99,12.95,552154,754073568.0,7.94,1.98,0.26,7.23,600552
79,2021-12-20,13.36,12.64,13.54,12.51,462349,598879680.0,7.71,-5.39,-0.72,6.05,600552
80,2021-12-21,12.58,12.32,12.81,12.15,450737,565138896.0,5.22,-2.53,-0.32,5.9,600552
81,2021-12-22,12.35,12.9,13.36,12.17,504709,655310720.0,9.66,4.71,0.58,6.61,600552
82,2021-12-23,13.05,12.76,13.21,12.5,311536,400782352.0,5.5,-1.09,-0.14,4.08,600552
83,2021-12-24,12.46,11.47,12.68,11.47,667005,783083504.0,9.48,-10.11,-1.29,8.73,600552
84,2021-12-27,11.27,11.23,11.64,10.91,373484,426838272.0,6.36,-2.09,-0.24,4.89,600552
85,2021-12-28,11.37,11.92,12.1,11.33,407643,484228800.0,6.86,6.14,0.69,5.34,600552
86,2021-12-29,11.94,12.1,13.0,11.9,537513,671090768.0,9.23,1.51,0.18,7.04,600552
87,2021-12-30,12.29,11.89,12.33,11.65,312921,377289312.0,5.62,-1.74,-0.21,4.1,600552
88,2021-12-31,11.89,11.57,12.11,11.47,293376,347000688.0,5.38,-2.69,-0.32,3.84,600552
89,2022-01-04,11.6,12.55,12.62,11.49,532671,653164048.0,9.77,8.47,0.98,6.97,600552
90,2022-01-05,12.35,11.88,12.36,11.71,320320,388888496.0,5.18,-5.34,-0.67,4.19,600552
91,2022-01-06,11.7,11.88,12.06,11.5,210738,252484947.0,4.71,0.0,0.0,2.76,600552
92,2022-01-07,12.02,11.25,12.03,11.11,346535,400556672.0,7.74,-5.3,-0.63,4.54,600552
