,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,stockCode
0,2021-08-20,47.9,47.6,49.19,45.6,53622,255250535.0,7.34,-2.66,-1.3,2.53,300702
1,2021-08-23,46.67,46.23,47.39,44.3,49722,228749536.0,6.49,-2.88,-1.37,2.35,300702
2,2021-08-24,46.23,45.5,46.7,45.01,29346,134548360.0,3.66,-1.58,-0.73,1.39,300702
3,2021-08-25,45.37,45.12,46.49,44.34,26937,122870105.0,4.73,-0.84,-0.38,1.27,300702
4,2021-08-26,44.91,40.85,45.13,40.41,76980,325993552.0,10.46,-9.46,-4.27,3.63,300702
5,2021-08-27,40.85,40.68,44.03,39.5,64447,269975232.0,11.09,-0.42,-0.17,3.04,300702
6,2021-08-30,40.71,40.08,40.96,38.18,40334,160838453.0,6.83,-1.47,-0.6,1.9,300702
7,2021-08-31,40.37,40.66,41.22,38.7,38750,155822234.0,6.29,1.45,0.58,1.83,300702
8,2021-09-01,40.67,39.76,40.68,38.58,34892,138523328.0,5.16,-2.21,-0.9,1.65,300702
9,2021-09-02,39.37,40.89,42.06,39.37,30374,124758044.0,6.77,2.84,1.13,1.43,300702
10,2021-09-03,40.49,46.12,47.09,40.49,62050,277426256.0,16.14,12.79,5.23,2.93,300702
11,2021-09-06,47.42,49.09,49.9,44.7,79361,381189280.0,11.27,6.44,2.97,3.75,300702
12,2021-09-07,48.9,49.14,50.58,47.7,56406,277530272.0,5.87,0.1,0.05,2.66,300702
13,2021-09-08,49.37,47.3,49.77,47.0,37705,181625741.0,5.64,-3.74,-1.84,1.78,300702
14,2021-09-09,47.31,45.8,48.16,44.87,40058,184400673.0,6.96,-3.17,-1.5,1.89,300702
15,2021-09-10,45.9,44.47,46.35,44.35,23157,104004676.0,4.37,-2.9,-1.33,1.09,300702
16,2021-09-13,44.89,48.26,48.78,44.52,57661,269708880.0,9.58,8.52,3.79,2.72,300702
17,2021-09-14,48.5,51.37,52.89,47.94,79159,401430592.0,10.26,6.44,3.11,3.74,300702
18,2021-09-15,51.4,51.22,53.4,48.48,62260,318948672.0,9.58,-0.29,-0.15,2.94,300702
19,2021-09-16,51.1,52.6,53.93,49.73,58658,309493520.0,8.2,2.69,1.38,2.77,300702
20,2021-09-17,52.61,53.74,54.3,51.28,42796,228045593.0,5.74,2.17,1.14,2.02,300702
21,2021-09-22,52.37,55.43,58.86,51.95,63842,352548896.0,12.86,3.14,1.69,3.01,300702
22,2021-09-23,54.9,55.43,56.45,52.9,36436,200111460.0,6.4,0.0,0.0,1.72,300702
23,2021-09-24,54.9,50.65,54.9,49.9,57405,300415392.0,9.02,-8.62,-4.78,2.71,300702
24,2021-09-27,50.88,51.36,53.5,50.4,53268,278758624.0,6.12,1.4,0.71,2.51,300702
25,2021-09-28,50.91,51.34,52.9,49.63,29755,154129516.0,6.37,-0.04,-0.02,1.4,300702
26,2021-09-29,50.9,47.7,51.3,46.68,55027,265691802.0,9.0,-7.09,-3.64,2.6,300702
27,2021-09-30,47.89,49.5,50.03,46.91,37425,183238717.0,6.54,3.77,1.8,1.77,300702
28,2021-10-08,59.42,53.78,59.42,52.22,182529,1041688656.0,14.55,8.65,4.28,8.62,300702
29,2021-10-11,52.9,45.31,52.9,44.56,150415,707196720.0,15.51,-15.75,-8.47,7.1,300702
30,2021-10-12,45.98,44.39,47.58,41.95,93265,412068128.0,12.43,-2.03,-0.92,4.4,300702
31,2021-10-13,43.04,46.4,47.08,43.04,53570,242306553.0,9.1,4.53,2.01,2.53,300702
32,2021-10-14,46.18,44.58,46.89,44.55,32476,147034228.0,5.04,-3.92,-1.82,1.53,300702
33,2021-10-15,44.94,43.0,45.08,42.3,36327,157038259.0,6.24,-3.54,-1.58,1.71,300702
34,2021-10-18,43.0,41.1,43.03,39.5,76199,311134736.0,8.21,-4.42,-1.9,3.6,300702
35,2021-10-19,41.01,40.72,41.29,40.2,33808,137785777.0,2.65,-0.92,-0.38,1.6,300702
36,2021-10-20,41.86,41.62,43.9,40.91,60660,257205759.0,7.34,2.21,0.9,2.86,300702
37,2021-10-21,41.33,41.4,42.45,40.94,34018,142114697.0,3.63,-0.53,-0.22,1.61,300702
38,2021-10-22,39.99,39.6,41.73,39.03,65893,265083864.0,6.52,-4.35,-1.8,3.11,300702
