,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,stockCode
0,2022-08-26,95.62,99.8,105.62,94.82,303976,3035226493.0,16.21,49.83,33.19,71.05,688439
1,2022-08-29,99.44,111.78,114.82,97.74,143928,1537527455.0,17.11,12.0,11.98,33.64,688439
2,2022-08-30,113.45,109.3,116.63,107.84,93147,1052483002.0,7.86,-2.22,-2.48,21.77,688439
3,2022-08-31,109.1,113.22,114.85,105.63,80383,894922996.0,8.44,3.59,3.92,18.79,688439
4,2022-09-01,113.22,106.59,115.36,102.95,90278,974830526.0,10.96,-5.86,-6.63,21.1,688439
5,2022-09-02,106.62,118.12,118.12,105.62,72984,829668351.0,11.73,10.82,11.53,17.06,688439
6,2022-09-05,116.12,114.97,116.92,111.12,52785,602239137.0,4.91,-2.67,-3.15,12.34,688439
7,2022-09-06,114.52,119.62,121.6,113.7,43421,517587030.0,6.87,4.04,4.65,10.15,688439
8,2022-09-07,119.02,117.61,124.8,116.53,42307,510901847.0,6.91,-1.68,-2.01,9.89,688439
9,2022-09-08,117.62,126.14,127.98,117.62,48531,601403977.0,8.81,7.25,8.53,11.34,688439
10,2022-09-09,124.71,127.29,127.85,121.82,34213,428290019.0,4.78,0.91,1.15,8.0,688439
11,2022-09-13,127.62,124.79,127.62,122.18,28428,353786761.0,4.27,-1.96,-2.5,6.65,688439
12,2022-09-14,122.43,128.83,131.22,122.23,32485,414844239.0,7.2,3.24,4.04,7.59,688439
13,2022-09-15,128.62,129.62,129.62,123.02,33177,419574920.0,5.12,0.61,0.79,7.76,688439
14,2022-09-16,128.37,127.32,135.12,126.12,35772,469498662.0,6.94,-1.77,-2.3,8.36,688439
15,2022-09-19,127.32,122.21,131.11,119.62,41623,519439984.0,9.02,-4.01,-5.11,9.73,688439
16,2022-09-20,121.45,121.12,124.45,118.01,32636,395935030.0,5.27,-0.89,-1.09,7.63,688439
17,2022-09-21,120.2,120.72,122.91,119.01,22456,272527174.0,3.22,-0.33,-0.4,5.25,688439
18,2022-09-22,119.62,126.64,131.61,118.63,28015,356641038.0,10.75,4.9,5.92,6.55,688439
19,2022-09-23,126.36,122.97,131.1,121.28,21176,265079866.0,7.75,-2.9,-3.67,4.95,688439
20,2022-09-26,122.62,128.32,131.42,121.52,26714,342117261.0,8.05,4.35,5.35,6.24,688439
21,2022-09-27,127.1,130.12,133.5,126.38,20069,261692081.0,5.55,1.4,1.8,4.69,688439
22,2022-09-28,129.87,127.66,131.59,122.93,21679,275615604.0,6.66,-1.89,-2.46,5.07,688439
23,2022-09-29,128.04,128.62,131.77,124.72,16479,211962406.0,5.52,0.75,0.96,3.85,688439
24,2022-09-30,128.07,115.52,128.38,115.52,23239,286581212.0,10.0,-10.19,-13.1,5.43,688439
25,2022-10-10,115.58,117.23,122.2,113.62,28085,333323284.0,7.43,1.48,1.71,6.56,688439
26,2022-10-11,116.63,120.3,121.59,112.25,19474,231906868.0,7.97,2.62,3.07,4.55,688439
27,2022-10-12,118.94,127.04,127.59,117.62,13554,166663323.0,8.29,5.6,6.74,3.17,688439
28,2022-10-13,125.78,128.05,130.5,125.03,11708,151041210.0,4.31,0.8,1.01,2.74,688439
29,2022-10-14,129.12,137.8,139.3,125.62,17985,241181049.0,10.68,7.61,9.75,4.2,688439
30,2022-10-17,135.62,137.52,139.12,135.14,10437,143811939.0,2.89,-0.2,-0.28,2.44,688439
31,2022-10-18,136.62,133.63,138.62,127.85,25136,331136934.0,7.83,-2.83,-3.89,5.88,688439
32,2022-10-19,130.92,127.5,131.61,125.28,25589,327345105.0,4.74,-4.59,-6.13,5.98,688439
33,2022-10-20,126.51,130.62,134.18,124.22,22612,293082746.0,7.81,2.45,3.12,5.29,688439
34,2022-10-21,129.02,131.66,133.62,126.5,12585,164315526.0,5.45,0.8,1.04,2.94,688439
35,2022-10-24,133.62,137.36,142.6,133.51,21746,303514832.0,6.9,4.33,5.7,5.08,688439
36,2022-10-25,135.11,134.63,141.32,132.95,16080,221349179.0,6.09,-1.99,-2.73,3.76,688439
37,2022-10-26,136.25,142.6,143.6,133.62,16967,238118489.0,7.41,5.92,7.97,3.97,688439
38,2022-10-27,141.53,136.32,143.6,134.22,18215,252111666.0,6.58,-4.4,-6.28,4.26,688439
39,2022-10-28,135.62,140.14,144.62,134.86,21386,303418438.0,7.16,2.8,3.82,5.0,688439
40,2022-10-31,142.03,147.04,149.29,140.74,17942,262775777.0,6.1,4.92,6.9,4.19,688439
41,2022-11-01,147.04,141.92,147.04,138.31,20817,296751112.0,5.94,-3.48,-5.12,4.87,688439
42,2022-11-02,140.08,138.99,144.0,137.52,26639,373280246.0,4.57,-2.06,-2.93,6.23,688439
43,2022-11-03,137.57,139.4,141.48,137.02,17076,238491116.0,3.21,0.29,0.41,3.99,688439
44,2022-11-04,138.17,139.5,142.0,135.62,16474,229388798.0,4.58,0.07,0.1,3.85,688439
45,2022-11-07,140.22,135.72,142.4,135.11,15309,210504881.0,5.23,-2.71,-3.78,3.58,688439
46,2022-11-08,135.62,134.49,136.62,129.64,16713,223600157.0,5.14,-0.91,-1.23,3.91,688439
47,2022-11-09,135.62,137.94,141.39,135.28,19182,266260884.0,4.54,2.57,3.45,4.48,688439
48,2022-11-10,136.65,135.52,140.58,133.68,12548,171491694.0,5.0,-1.75,-2.42,2.93,688439
49,2022-11-11,138.14,131.62,138.42,130.35,23070,308831122.0,5.95,-2.88,-3.9,5.39,688439
50,2022-11-14,129.62,127.76,130.09,125.12,18310,234216801.0,3.78,-2.93,-3.86,4.28,688439
51,2022-11-15,126.94,130.51,134.18,126.94,20720,272278053.0,5.67,2.15,2.75,4.84,688439
52,2022-11-16,129.06,126.98,131.46,126.22,15442,198104419.0,4.02,-2.7,-3.53,3.61,688439
53,2022-11-17,126.98,131.18,131.62,121.78,20094,254993427.0,7.75,3.31,4.2,4.7,688439
54,2022-11-18,129.41,127.88,132.5,127.88,10348,135102068.0,3.52,-2.52,-3.3,2.42,688439
55,2022-11-21,126.62,130.99,133.16,125.22,8524,110499767.0,6.21,2.43,3.11,1.99,688439
56,2022-11-22,130.8,130.09,133.52,127.07,12127,159399910.0,4.92,-0.69,-0.9,2.83,688439
57,2022-11-23,130.25,130.62,133.02,126.25,10315,134362738.0,5.2,0.41,0.53,2.41,688439
58,2022-11-24,129.67,127.25,130.66,126.52,14364,184164043.0,3.17,-2.58,-3.37,3.36,688439
59,2022-11-25,126.64,125.72,129.47,124.8,8595,109443549.0,3.67,-1.2,-1.53,2.01,688439
60,2022-11-28,122.63,122.42,126.7,121.25,7191,88776302.0,4.34,-2.62,-3.3,1.68,688439
61,2022-11-29,120.85,120.8,122.95,118.62,16589,200097223.0,3.54,-1.32,-1.62,3.88,688439
62,2022-11-30,120.43,118.03,120.81,116.5,13653,161389621.0,3.57,-2.29,-2.77,3.19,688439
63,2022-12-01,118.62,120.14,121.29,118.52,11064,132904839.0,2.35,1.79,2.11,2.59,688439
