,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,stockCode
0,2021-08-20,55.28,54.23,55.42,52.92,34988,191835633.0,4.52,-1.86,-1.03,1.41,600211
1,2021-08-23,54.21,54.81,55.37,53.54,25297,140550537.0,3.37,1.07,0.58,1.02,600211
2,2021-08-24,54.82,55.02,55.4,54.33,22217,124208329.0,1.95,0.38,0.21,0.9,600211
3,2021-08-25,54.82,54.81,55.22,54.52,20359,113853648.0,1.27,-0.38,-0.21,0.82,600211
4,2021-08-26,54.95,53.18,54.95,53.17,24466,134297147.0,3.25,-2.97,-1.63,0.99,600211
5,2021-08-27,53.13,52.68,53.72,52.12,20974,113133933.0,3.01,-0.94,-0.5,0.85,600211
6,2021-08-30,47.92,48.82,50.52,47.92,58177,290042480.0,4.94,-7.33,-3.86,2.35,600211
7,2021-08-31,48.8,47.04,48.8,45.92,56097,269484640.0,5.9,-3.65,-1.78,2.26,600211
8,2021-09-01,47.31,47.57,47.91,45.92,35470,170697318.0,4.23,1.13,0.53,1.43,600211
9,2021-09-02,47.33,47.24,47.43,46.58,26199,125987026.0,1.79,-0.69,-0.33,1.06,600211
10,2021-09-03,47.28,48.57,48.92,46.8,37881,186958593.0,4.49,2.82,1.33,1.53,600211
11,2021-09-06,48.57,50.33,50.54,47.97,39376,201029768.0,5.29,3.62,1.76,1.59,600211
12,2021-09-07,50.33,49.61,50.5,49.12,27513,139361844.0,2.74,-1.43,-0.72,1.11,600211
13,2021-09-08,49.67,49.3,50.03,49.13,22018,111138500.0,1.81,-0.62,-0.31,0.89,600211
14,2021-09-09,49.04,48.75,49.72,48.51,22075,110423784.0,2.45,-1.12,-0.55,0.89,600211
15,2021-09-10,48.52,48.9,49.27,47.92,22954,114049731.0,2.77,0.31,0.15,0.93,600211
16,2021-09-13,49.07,49.26,50.27,48.8,25142,126436816.0,3.01,0.74,0.36,1.01,600211
17,2021-09-14,48.82,48.25,49.37,47.97,23940,118767127.0,2.84,-2.05,-1.01,0.97,600211
18,2021-09-15,48.05,47.31,48.12,47.22,20003,97077188.0,1.87,-1.95,-0.94,0.81,600211
19,2021-09-16,47.18,46.69,47.69,46.68,23280,112129679.0,2.13,-1.31,-0.62,0.94,600211
20,2021-09-17,45.94,47.12,47.72,45.94,22511,107845563.0,3.81,0.92,0.43,0.91,600211
21,2021-09-22,46.49,46.69,47.49,46.27,15042,71915260.0,2.59,-0.91,-0.43,0.61,600211
22,2021-09-23,46.69,46.75,47.2,46.57,16170,77485917.0,1.35,0.13,0.06,0.65,600211
23,2021-09-24,46.76,47.45,47.88,46.4,25103,121446848.0,3.17,1.5,0.7,1.01,600211
24,2021-09-27,47.01,48.97,49.58,46.82,43240,214509818.0,5.82,3.2,1.52,1.74,600211
25,2021-09-28,48.98,47.8,49.28,47.73,25325,124195659.0,3.17,-2.39,-1.17,1.02,600211
26,2021-09-29,47.7,46.3,48.14,46.3,21929,104904510.0,3.85,-3.14,-1.5,0.88,600211
27,2021-09-30,46.39,46.79,47.0,46.39,11982,57268379.0,1.32,1.06,0.49,0.48,600211
28,2021-10-08,46.5,48.19,48.6,46.49,27264,133325284.0,4.51,2.99,1.4,1.1,600211
29,2021-10-11,48.19,47.64,49.22,47.59,22315,109776435.0,3.38,-1.14,-0.55,0.9,600211
30,2021-10-12,47.53,47.73,48.31,46.82,18894,92164726.0,3.13,0.19,0.09,0.76,600211
