,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,stockCode
0,2021-09-09,11.18,13.58,13.58,11.18,12308,17689181.0,26.14,47.93,4.4,1.58,605599
1,2021-09-10,15.02,15.02,15.02,15.02,3077,4873936.0,0.0,10.6,1.44,0.4,605599
2,2021-09-13,16.6,16.6,16.6,16.6,25251,43987573.0,0.0,10.52,1.58,3.25,605599
3,2021-09-14,17.68,15.47,17.68,15.32,454503,785643424.0,14.22,-6.81,-1.13,58.44,605599
4,2021-09-15,13.89,13.9,14.67,13.89,261903,391462944.0,5.04,-10.15,-1.57,33.67,605599
5,2021-09-16,13.65,13.31,14.13,13.22,174457,251756748.0,6.55,-4.24,-0.59,22.43,605599
6,2021-09-17,13.11,12.7,13.23,12.4,138843,188013756.0,6.24,-4.58,-0.61,17.85,605599
7,2021-09-22,12.54,12.86,13.1,12.46,86066,117820286.0,5.04,1.26,0.16,11.07,605599
8,2021-09-23,12.84,12.56,12.84,12.43,86709,116388227.0,3.19,-2.33,-0.3,11.15,605599
9,2021-09-24,12.58,12.36,12.63,12.2,84881,111792499.0,3.42,-1.59,-0.2,10.91,605599
10,2021-09-27,12.32,11.78,12.34,11.73,68019,87009628.0,4.94,-4.69,-0.58,8.75,605599
11,2021-09-28,11.68,11.8,11.94,11.68,39450,49949060.0,2.21,0.17,0.02,5.07,605599
12,2021-09-29,11.7,12.04,12.73,11.49,92157,119732539.0,10.51,2.03,0.24,11.85,605599
13,2021-09-30,11.71,11.87,12.03,11.71,47828,60774039.0,2.66,-1.41,-0.17,6.15,605599
14,2021-10-08,11.92,12.22,12.3,11.76,52166,67156374.0,4.55,2.95,0.35,6.71,605599
15,2021-10-11,12.22,12.62,12.67,12.07,70209,92950471.0,4.91,3.27,0.4,9.03,605599
16,2021-10-12,12.51,12.66,12.73,12.21,57731,76757467.0,4.12,0.32,0.04,7.42,605599
17,2021-10-13,12.54,12.44,12.7,12.41,51363,68683919.0,2.29,-1.74,-0.22,6.6,605599
18,2021-10-14,12.66,12.9,13.53,12.58,111174,153931995.0,7.64,3.7,0.46,14.29,605599
19,2021-10-15,12.56,12.23,12.66,12.23,85450,112707658.0,3.33,-5.19,-0.67,10.99,605599
20,2021-10-18,12.02,12.0,12.08,11.83,47512,60588830.0,2.04,-1.88,-0.23,6.11,605599
