,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,stockCode
0,2021-06-30,5.21,5.06,5.22,5.04,380795,194581091.0,3.4,-4.35,-0.23,4.93,002172
1,2021-07-01,5.05,5.1,5.3,4.92,446609,230289984.0,7.51,0.79,0.04,5.78,002172
2,2021-07-02,5.12,5.14,5.17,5.0,249065,126896960.0,3.33,0.78,0.04,3.22,002172
3,2021-07-05,5.06,4.98,5.14,4.94,335418,168248169.0,3.89,-3.11,-0.16,4.34,002172
4,2021-07-06,4.94,4.88,4.99,4.79,338847,164796171.0,4.02,-2.01,-0.1,4.38,002172
5,2021-07-07,4.88,4.86,4.95,4.83,273206,133577146.0,2.46,-0.41,-0.02,3.53,002172
6,2021-07-08,4.86,4.68,4.92,4.64,386447,182856934.0,5.76,-3.7,-0.18,5.0,002172
7,2021-07-09,4.66,4.8,4.86,4.64,297032,141304241.0,4.7,2.56,0.12,3.84,002172
8,2021-07-12,4.57,4.66,4.87,4.57,449234,211648832.0,6.25,-2.92,-0.14,5.81,002172
9,2021-07-13,4.67,4.48,4.68,4.44,389157,175899598.0,5.15,-3.86,-0.18,5.03,002172
10,2021-07-14,4.47,4.93,4.93,4.46,691665,327828464.0,10.49,10.04,0.45,8.95,002172
11,2021-07-15,5.04,4.79,5.05,4.6,815289,388217136.0,9.13,-2.84,-0.14,10.55,002172
12,2021-07-16,4.75,4.93,5.05,4.61,688237,335227488.0,9.19,2.92,0.14,8.9,002172
13,2021-07-19,4.98,5.28,5.36,4.82,825116,424246736.0,10.95,7.1,0.35,10.67,002172
14,2021-07-20,5.12,5.5,5.59,5.1,889426,475862224.0,9.28,4.17,0.22,11.51,002172
15,2021-07-21,5.7,5.51,5.73,5.45,816578,454155936.0,5.09,0.18,0.01,10.56,002172
16,2021-07-22,5.46,5.27,5.47,5.22,637805,340060480.0,4.54,-4.36,-0.24,8.25,002172
17,2021-07-23,5.23,5.27,5.41,5.16,508429,267282304.0,4.74,0.0,0.0,6.58,002172
18,2021-07-26,5.26,5.05,5.26,5.01,433942,221382206.0,4.74,-4.17,-0.22,5.61,002172
19,2021-07-27,5.02,4.89,5.1,4.8,493471,244406519.0,5.94,-3.17,-0.16,6.38,002172
20,2021-07-28,4.9,5.38,5.38,4.83,706866,368700656.0,11.25,10.02,0.49,9.14,002172
21,2021-07-29,5.5,5.67,5.77,5.38,1135277,637709792.0,7.25,5.39,0.29,14.69,002172
22,2021-07-30,5.5,5.92,5.95,5.4,1129767,643277296.0,9.7,4.41,0.25,14.61,002172
23,2021-08-02,5.78,6.04,6.17,5.6,1052485,621325120.0,9.63,2.03,0.12,13.61,002172
24,2021-08-03,6.0,5.83,6.23,5.71,950152,572121248.0,8.61,-3.48,-0.21,12.29,002172
25,2021-08-04,5.73,5.92,6.04,5.71,770857,451551888.0,5.66,1.54,0.09,9.97,002172
26,2021-08-05,5.92,5.74,6.05,5.68,663451,390013280.0,6.25,-3.04,-0.18,8.58,002172
27,2021-08-06,5.8,5.75,5.84,5.61,551434,315326816.0,4.01,0.17,0.01,7.13,002172
28,2021-08-09,5.75,5.6,5.79,5.56,444583,252353129.0,4.0,-2.61,-0.15,5.75,002172
29,2021-08-10,5.56,5.62,5.79,5.5,454244,254766340.0,5.18,0.36,0.02,5.88,002172
30,2021-08-11,5.57,5.42,5.64,5.39,475608,260130583.0,4.45,-3.56,-0.2,6.15,002172
31,2021-08-12,5.42,5.33,5.43,5.26,383131,204091324.0,3.14,-1.66,-0.09,4.96,002172
32,2021-08-13,5.32,5.18,5.38,5.16,359249,188430836.0,4.13,-2.81,-0.15,4.65,002172
33,2021-08-16,5.11,5.15,5.27,5.1,315060,163511000.0,3.28,-0.58,-0.03,4.08,002172
34,2021-08-17,5.11,4.89,5.12,4.86,390336,194955972.0,5.05,-5.05,-0.26,5.05,002172
35,2021-08-18,4.89,4.76,4.96,4.72,353863,169987218.0,4.91,-2.66,-0.13,4.58,002172
36,2021-08-19,4.76,4.72,4.81,4.67,228090,108253109.0,2.94,-0.84,-0.04,2.95,002172
