,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,stockCode
0,2021-10-28,10.45,10.92,11.69,10.16,27058,38794282.0,14.63,4.4,0.46,7.93,836892
1,2021-10-29,10.69,11.33,11.79,10.52,11350,16979498.0,11.63,3.75,0.41,3.33,836892
2,2021-11-01,11.97,14.6,14.82,11.97,18112,32652038.0,25.15,28.86,3.27,5.31,836892
3,2021-11-02,14.23,14.29,14.46,12.62,14987,26644831.0,12.6,-2.12,-0.31,4.39,836892
4,2021-11-03,13.62,13.78,14.12,13.62,7153,13167178.0,3.5,-3.57,-0.51,2.1,836892
5,2021-11-04,13.87,14.58,15.07,13.78,8382,16291135.0,9.36,5.81,0.8,2.46,836892
6,2021-11-05,14.96,14.56,14.96,13.55,5392,10190322.0,9.67,-0.14,-0.02,1.58,836892
7,2021-11-08,14.68,16.77,17.08,14.31,11618,24997630.0,19.02,15.18,2.21,3.41,836892
8,2021-11-09,16.52,18.12,18.15,16.35,6556,14922665.0,10.73,8.05,1.35,1.92,836892
9,2021-11-10,18.25,19.69,19.91,17.77,5715,14020041.0,11.81,8.66,1.57,1.68,836892
10,2021-11-11,19.69,19.54,20.3,17.88,6294,15914068.0,12.29,-0.76,-0.15,1.84,836892
11,2021-11-12,19.54,19.08,20.35,18.95,4450,11455508.0,7.16,-2.35,-0.46,1.3,836892
12,2021-11-15,18.92,16.76,21.13,16.37,14593,35604168.0,24.95,-12.16,-2.32,4.28,836892
13,2021-11-16,16.72,15.07,16.75,15.05,5534,11477744.0,10.14,-10.08,-1.69,1.62,836892
14,2021-11-17,15.1,14.85,15.2,14.82,4228,8403542.0,2.52,-1.46,-0.22,1.24,836892
15,2021-11-18,15.03,14.41,15.03,14.35,2949,5757968.0,4.58,-2.96,-0.44,0.86,836892
16,2021-11-19,14.43,14.02,14.62,13.54,5129,9434257.0,7.49,-2.71,-0.39,1.5,836892
17,2021-11-22,14.02,14.18,14.27,14.0,1790,3363127.0,1.93,1.14,0.16,0.52,836892
18,2021-11-23,14.22,14.17,14.68,14.02,4462,8540009.0,4.65,-0.07,-0.01,1.31,836892
19,2021-11-24,14.25,13.97,14.42,13.95,2652,4974345.0,3.32,-1.41,-0.2,0.78,836892
20,2021-11-25,13.97,13.83,13.97,13.67,2894,5294612.0,2.15,-1.0,-0.14,0.85,836892
21,2021-11-26,13.79,14.02,14.06,13.76,1978,3662987.0,2.17,1.37,0.19,0.58,836892
22,2021-11-29,14.01,13.58,14.01,13.55,2568,4667169.0,3.28,-3.14,-0.44,0.75,836892
23,2021-11-30,13.58,13.32,13.77,13.29,1690,3043329.0,3.53,-1.91,-0.26,0.5,836892
24,2021-12-01,13.36,13.32,13.75,13.17,1055,1864967.0,4.35,0.0,0.0,0.31,836892
25,2021-12-02,13.32,13.48,13.49,13.14,737,1310982.0,2.63,1.2,0.16,0.22,836892
26,2021-12-03,13.32,13.12,13.43,12.87,2078,3635387.0,4.15,-2.67,-0.36,0.61,836892
27,2021-12-06,12.92,12.3,13.12,12.15,3039,5036157.0,7.39,-6.25,-0.82,0.89,836892
28,2021-12-07,12.45,12.15,12.45,12.01,1037,1675155.0,3.58,-1.22,-0.15,0.3,836892
29,2021-12-08,12.25,12.28,12.3,12.02,852,1389645.0,2.3,1.07,0.13,0.25,836892
30,2021-12-09,12.13,12.31,12.35,12.13,580,946956.0,1.79,0.24,0.03,0.17,836892
31,2021-12-10,12.16,12.69,13.0,12.16,1665,2794234.0,6.82,3.09,0.38,0.49,836892
32,2021-12-13,12.78,13.15,13.38,12.65,1945,3402543.0,5.75,3.62,0.46,0.57,836892
33,2021-12-14,13.38,13.49,13.75,13.18,2056,3680102.0,4.33,2.59,0.34,0.6,836892
34,2021-12-15,13.45,13.12,13.45,13.03,1089,1909070.0,3.11,-2.74,-0.37,0.32,836892
35,2021-12-16,13.22,12.98,13.22,12.7,1531,2620515.0,3.96,-1.07,-0.14,0.45,836892
36,2021-12-17,12.92,12.62,12.92,12.58,867,1462760.0,2.62,-2.77,-0.36,0.25,836892
37,2021-12-20,12.61,12.04,12.61,11.95,3893,6294448.0,5.23,-4.6,-0.58,1.14,836892
38,2021-12-21,12.12,12.08,12.22,11.99,661,1060816.0,1.91,0.33,0.04,0.19,836892
39,2021-12-22,12.08,12.14,12.48,12.08,1108,1807985.0,3.31,0.5,0.06,0.32,836892
40,2021-12-23,12.12,11.93,12.12,11.85,987,1574352.0,2.22,-1.73,-0.21,0.29,836892
41,2021-12-24,11.82,11.65,11.98,11.55,634,992217.0,3.6,-2.35,-0.28,0.19,836892
42,2021-12-27,11.68,11.8,11.8,11.68,556,869336.0,1.03,1.29,0.15,0.16,836892
43,2021-12-28,11.77,11.87,11.95,11.72,603,950223.0,1.95,0.59,0.07,0.18,836892
44,2021-12-29,11.94,12.07,12.11,11.85,698,1119598.0,2.19,1.68,0.2,0.2,836892
