,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,stockCode
0,2023-05-26,55.0,50.8,58.0,50.61,176603,961147252.0,22.67,55.83,18.2,71.48,301337
1,2023-05-29,43.3,47.2,48.01,43.21,114584,531249082.0,9.45,-7.09,-3.6,46.38,301337
2,2023-05-30,46.0,43.03,47.2,42.0,108611,477760292.0,11.02,-8.83,-4.17,43.96,301337
3,2023-05-31,42.5,42.52,44.27,41.67,82604,355375589.0,6.04,-1.19,-0.51,33.44,301337
4,2023-06-01,41.53,40.23,42.18,40.17,77543,316374937.0,4.73,-5.39,-2.29,31.39,301337
5,2023-06-02,39.75,39.33,40.39,39.21,56072,222265857.0,2.93,-2.24,-0.9,22.7,301337
6,2023-06-05,39.36,39.45,39.95,39.21,40507,160002130.0,1.88,0.31,0.12,16.4,301337
7,2023-06-06,39.84,42.23,42.78,39.84,95684,395734302.0,7.45,7.05,2.78,38.73,301337
8,2023-06-07,41.03,41.1,42.3,40.0,63151,258650770.0,5.45,-2.68,-1.13,25.56,301337
9,2023-06-08,40.71,40.89,42.36,40.59,53918,222646724.0,4.31,-0.51,-0.21,21.82,301337
10,2023-06-09,40.15,41.45,41.77,39.27,55503,223960734.0,6.11,1.37,0.56,22.47,301337
11,2023-06-12,41.0,40.53,41.23,40.2,35557,144542878.0,2.48,-2.22,-0.92,14.39,301337
12,2023-06-13,40.26,40.48,40.84,39.57,37996,152631377.0,3.13,-0.12,-0.05,15.38,301337
13,2023-06-14,40.27,37.71,40.51,37.58,62376,242452693.0,7.24,-6.84,-2.77,25.25,301337
14,2023-06-15,37.55,37.65,38.05,37.33,28325,106727784.0,1.91,-0.16,-0.06,11.47,301337
15,2023-06-16,37.57,38.02,38.1,37.14,31052,116949566.61,2.55,0.98,0.37,12.57,301337
