,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,stockCode
0,2021-06-17,4.1,4.08,4.16,4.07,118468,64964041.0,2.18,-0.97,-0.04,0.82,002839
1,2021-06-18,4.08,4.09,4.11,4.03,136419,74252787.0,1.96,0.25,0.01,0.95,002839
2,2021-06-21,4.08,4.12,4.13,4.08,109773,60155181.0,1.22,0.73,0.03,0.76,002839
3,2021-06-22,4.1,4.11,4.14,4.09,163739,89965535.0,1.21,-0.24,-0.01,1.14,002839
4,2021-06-23,4.11,4.09,4.12,4.08,119430,65264959.0,0.97,-0.49,-0.02,0.83,002839
5,2021-06-24,4.09,4.1,4.12,4.08,110086,60317568.0,0.98,0.24,0.01,0.76,002839
6,2021-06-25,4.1,4.16,4.18,4.1,188859,104445674.0,1.95,1.46,0.06,1.31,002839
7,2021-06-28,4.17,4.11,4.17,4.1,130168,71673523.0,1.68,-1.2,-0.05,0.9,002839
8,2021-06-29,4.12,4.08,4.13,4.08,99961,54754950.0,1.22,-0.73,-0.03,0.69,002839
9,2021-06-30,4.09,4.07,4.11,4.07,74575,40690490.0,0.98,-0.25,-0.01,0.52,002839
10,2021-07-01,4.09,4.08,4.12,4.07,109402,59900193.0,1.23,0.25,0.01,0.76,002839
11,2021-07-02,4.08,4.08,4.1,4.03,115129,62765362.0,1.72,0.0,0.0,0.8,002839
12,2021-07-05,4.08,4.1,4.13,4.07,138442,75869813.0,1.47,0.49,0.02,0.96,002839
13,2021-07-06,4.1,4.13,4.13,4.07,150260,82372777.0,1.46,0.73,0.03,1.04,002839
14,2021-07-07,4.12,4.13,4.13,4.08,185085,101580509.0,1.21,0.0,0.0,1.29,002839
15,2021-07-08,4.14,4.08,4.14,4.08,177860,94731946.0,1.45,-1.21,-0.05,1.24,002839
16,2021-07-09,4.07,4.05,4.09,4.04,134249,70837544.0,1.23,-0.74,-0.03,0.93,002839
17,2021-07-12,4.09,4.08,4.1,4.07,147089,77891072.0,0.74,0.74,0.03,1.02,002839
