,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,stockCode
0,2021-06-25,7.6,7.68,7.7,7.49,605150,463633776.0,2.74,0.26,0.02,2.23,600879
1,2021-06-28,7.68,7.55,7.75,7.53,456912,351678496.0,2.86,-1.69,-0.13,1.68,600879
2,2021-06-29,7.56,7.37,7.61,7.34,510622,384128944.0,3.58,-2.38,-0.18,1.88,600879
3,2021-06-30,7.36,7.45,7.45,7.3,380511,283318176.0,2.04,1.09,0.08,1.4,600879
4,2021-07-01,7.46,7.13,7.5,7.12,535010,392337776.0,5.1,-4.3,-0.32,1.97,600879
5,2021-07-02,7.13,7.0,7.17,6.94,516730,366966064.0,3.23,-1.82,-0.13,1.9,600879
6,2021-07-05,6.99,7.04,7.07,6.97,268878,190745265.0,1.43,0.57,0.04,0.99,600879
7,2021-07-06,7.02,7.05,7.06,6.92,311476,220395836.0,1.99,0.14,0.01,1.15,600879
8,2021-07-07,6.99,7.12,7.16,6.96,384307,274672000.0,2.84,0.99,0.07,1.41,600879
9,2021-07-08,7.1,7.2,7.28,7.08,561523,407819072.0,2.81,1.12,0.08,2.06,600879
10,2021-07-09,7.16,7.13,7.19,7.08,426903,306787840.0,1.53,-0.97,-0.07,1.57,600879
11,2021-07-12,7.13,7.2,7.26,7.09,422599,306531120.0,2.38,0.98,0.07,1.55,600879
12,2021-07-13,7.16,7.16,7.22,7.11,356932,257745241.0,1.53,-0.56,-0.04,1.31,600879
13,2021-07-14,7.15,6.95,7.15,6.94,505547,357506304.0,2.93,-2.93,-0.21,1.86,600879
14,2021-07-15,6.94,6.96,7.02,6.88,335603,235272528.0,2.01,0.14,0.01,1.23,600879
15,2021-07-16,6.95,7.17,7.23,6.92,676863,486338496.0,4.45,3.02,0.21,2.49,600879
16,2021-07-19,7.18,7.14,7.23,7.09,493755,356244800.0,1.95,-0.42,-0.03,1.82,600879
17,2021-07-20,7.07,7.15,7.18,7.06,344936,248618905.0,1.68,0.14,0.01,1.27,600879
18,2021-07-21,7.15,7.18,7.22,7.13,466543,337858768.0,1.26,0.42,0.03,1.72,600879
19,2021-07-22,7.15,7.13,7.17,7.08,405997,291782528.0,1.25,-0.7,-0.05,1.49,600879
